Sample,Colony ID,Tag
1,MC-002,1552
2,LC-157,1557
3,LC-055,1655
4,LC-056,1656
5,LC-088,1688
6,LC-003,1703
7,LC-024,1724
8,LC-126,2126
9,LC-041,1741
10,LC-042,1742
11,LC-043,1743
12,LC-045,1745
13,LC-048,1748
14,LC-049,1749
15,LC-052,1752
16,LC-053,1753
17,LC-077,1777
18,LC-078,1778
19,LC-016,1796
20,LC-101,1801
21,LC-110,1810
22,LC-013,1813
23,LC-114,1814
24,MC-019,1819
25,LC-122,1822
26,LC-125,1825
27,LC-123,1923
28,LC-124,1924
29,MC-026,2026
30,MC-027,2027
31,MC-032,2032
32,LC-085,2085
33,LC-005,2105
34,LC-115,2115
35,LC-127,2127
36,LC-129,2129
37,MC-011,2311
38,MC-014,2314
39,MC-005,2405
40,LC-058,2558
41,LC-079,2579
42,LC-018,2818
43,LC-007,2907
44,LC-062,1922
45,LC-064,2964
46,617,617
47,663,663
48,675,675
49,679,679
50,689,689
51,693,693
52,695,695
53,699,699
54,713,713
55,719,719
56,741,741
57,753,753
58,765,765
59,1220,1220
60,3421,3421
61,3446,3446
62,N-48,N-48
63,N-50,N-50
64,N-52,N-52
65,N-53,N-53
66,N-54,N-54
67,N-56,N-56
68,N-58,N-58
69,N-59,N-59
70,1004,1004
71,1280,1280
72,1332,1332
73,1340,1340
74,1452,1452
75,1455,1455
76,1463,1463
77,1470,1470
78,3342,3342
79,3343,3343
80,3420,3420
81,4360,4360
82,4503,4503
83,4616,4616
84,N-46,N-46
85,N-49,N-49
86,N-60,N-60
87,N-67,N-67
88,N-70,N-70
89,N-72,N-72
90,N-73,N-73
